"Agency","Route","Direction","Service Key","Language","Footnote (FN)","FN Sequence"
"","94","Outbound","Weekday","en","<b>Note:</b> Buses to Sherwood serve: <b>C</b> stops along 3rd, Clay & 5th, Broadway & Market, Montgomery, Hall and Jackson, then travel express to Barbur & Bertha; then stop at: Barbur TC; Pacific Hwy at 74th, Greenburg Rd, Walnut, Gaarde, Bull Mountain, Durham and Fischer; all stops in Sherwood between Regal Cinemas and Railroad & Washington.","50"
"","94","Inbound","Weekday","en","<b>Note:</b> Buses to Portland serve: All stops in Sherwood between Railroad & Washington and Regal Cinemas; Pacific Hwy & Fischer, Durham, Bull Mountain, McDonald, Walnut, Main, 74th and Capitol Hwy; Barbur TC; Barbur & Bertha; then travel express with no stops to SW 4th & Hall, Mill, Clay, Jefferson and all <b>X </b> stops up to SW Oak.","50"
"","95","Outbound","Weekday","en","<b>Note:</b> Buses to Sherwood serve: NE 11th & Holladay; Multnomah & 9th, 7th; Rose Quarter TC; SW (Southwest-Rose) shelters along 5th at Stark, Alder, Yamhill, Salmon, Madison; on Market at 4th and 2nd; Harbor & Mongtgomery and Moody; then travel express with no stops to Pacific Hwy & 74th and Pacific Hwy & Walnut. Buses then serve all stops to Sherwood.","50"
"","95","Inbound","Weekday","en","<b>Note:</b> Buses to Lloyd Center serve all stops between Sherwood and Pacific Hwy & Walnut in Tigard; then stop at Pacific Hwy & 74th. Buses travel express with no stops to downtown Portland stopping at: Harbor at Moody and Montgomery; Clay at 1st and 5th; 6th Avenue at Jefferson, Main, Taylor, Morrison, Washington, Oak and Burnside; then Rose Quarter TC; NE Multnomah at Grand, 7th and 9th; and Holladay & 11th.","50"
"","99","Outbound","Weekday","en","<b>Note:</b> Buses to Oregon City serve: <B>A</B> stops along SW 3rd at Pine, Washington and Taylor; Madison & 1st then travel express with no stops to Milwaukie, Main & Milport; then Milwaukie TC; McLoughlin Blvd at Courtney, Oak Grove, Concord, Roethe, Jennings and Gloucester; Oregon City TC; Molalla Ave & Pearl and Clairmont; and Clackamas Community College.","50"
"","99","Inbound","Weekday","en","<b>Note:</b> Buses to Portland serve: Clackamas Community College; Molalla Ave & Clairmont and Pearl; Oregon City TC; McLoughlin Blvd at Gloucester, Jennings, Roethe, Concord, Oak Grove and Courtney; Milwaukie TC; Main & Milport; then travel with no stops to downtown; SW Main & 2nd; and Y stops on 4th Avenue at Salmon, Alder and Oak.","50"
"","101x","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>W (West-Deer)</b> stops on 5th Avenue.","50"
"","101","Inbound","Saturday","en","<b>Note:</b> Passengers leaving Vermont Maplewood Loop in the p.m. read outbound times at 45th & Vermont West for service to Burlingame. Transfer to Line 12-Barbur Blvd for service to City Center.","50"
"","101","Inbound","Weekday","en","<b>Note:</b> Passengers leaving Vermont Maplewood Loop in the p.m. read outbound times at 45th & Vermont West for service to City Center.","50"
"","104","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>B</b> stops on 3rd Avenue.","50"
"","108","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>C</b> stops on 3rd Avenue.","50"
"","109","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>B</b> stops on 3rd Avenue.","50"
"","110","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>A</b> stops on 3rd Avenue.","50"
"","110","Inbound","*","en","<b>Note:</b> Passengers leaving from 136th Avenue loop in the p.m., read outbound times at 82nd & Foster for service to Portland City Center.","50"
"","112","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>X</b> stops on 4th Avenue.","50"
"","115","Outbound","*","en","<b>Note:</b> After 11p.m. you may request the bus operator to serve stops on NW Thurman beyond 25th to Gordon.","50"
"","117","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>B</b> stops on 3rd Avenue.","50"
"","119","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>B</b> stops on 3rd Avenue.","50"
"","133","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>Y</b> stops on 4th Avenue.","50"
"","135","Outbound","*","en","<b>Note:</b> In downtown Portland, board at <b>Z</b> stops on 4th Avenue.","50"
"","140","Outbound","*","en","<b>Note:</b> In downtown Portland board at the <b>N (North-Fish)</b> stops on 6th Avenue.","50"
"","144","Outbound","*","en","<b>Note:</b> In Downtown Portland board at <b>Z</b> stops on 4th Avenue","50"
"","155","*","Sunday","en","<b>Note:</b> On Sundays, lines 155 and 156 operate as a loop in one direction. Line 155 travels from Clackamas Town Center TC on Sunnyside Road to 147th; returning to Clackamas Town Center, the bus continues on the 156 route, serving 132nd, Hubbard & Mather Roads.","50"
"","179","Outbound","Weekday","en","<b>Note:</b> For service to South End Road, a transfer to another Line 79 bus is required at Oregon City TC.  Weekday South End Loop times are shown on a separate schedule.","50"
"","254","*","*","en","<B>Note:</B> Schedules for lines 54 and 56 are combined on this schedule.  Line 54 serves Beaverton Transit Center.  Line 56 serves Washington Square Transit Center.","40"
"","280","*","*","en","<B>Note:</B> Weekday schedules for lines 80 and 81 are combined on this schedule.  Line 80 serves Troutdale Road between Stark & Halsey.  Line 81 serves 257th Avenue.","40"
"","10090","*","*","en","Red Line trips are highlighted.","20"
"TriMet","156","*","Sunday","","<b>Note:</b> On Sundays, lines 155 and 156 operate as a loop in one direction. Line 155 travels from Clackamas Town Center TC on Sunnyside Road to 147th; returning to Clackamas Town Center, the bus continues on the 156 route, serving 132nd, Hubbard & Mather Roads.","50"
